"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 01월 18일","96.34","96.07","96.39","96.01","-","0.29%"
"2019년 01월 17일","96.06","96.07","96.26","95.98","-","0.00%"
"2019년 01월 16일","96.06","95.94","96.18","95.86","-","0.02%"
"2019년 01월 15일","96.04","95.57","96.26","95.47","-","0.45%"
"2019년 01월 14일","95.61","95.65","95.72","95.48","-","-0.06%"
"2019년 01월 11일","95.67","95.44","95.76","95.19","-","0.14%"
"2019년 01월 10일","95.54","95.16","95.62","95.03","-","0.34%"
"2019년 01월 09일","95.22","95.81","95.92","95.12","-","-0.71%"
"2019년 01월 08일","95.90","95.69","96.03","95.68","-","0.24%"
"2019년 01월 07일","95.67","96.16","96.16","95.64","-","-0.53%"
"2019년 01월 04일","96.18","96.28","96.61","96.05","-","-0.13%"
"2019년 01월 03일","96.31","96.72","96.75","96.21","-","-0.53%"
"2019년 01월 02일","96.82","96.14","96.96","95.82","-","0.68%"
"2019년 01월 01일","96.17","96.15","96.32","95.65","-","0.00%"
"2018년 12월 31일","96.17","96.40","96.51","96.00","-","-0.24%"
"2018년 12월 28일","96.40","96.51","96.52","96.19","-","-0.08%"
"2018년 12월 27일","96.48","96.92","96.94","96.41","-","-0.59%"
"2018년 12월 26일","97.05","96.58","97.12","96.53","-","0.52%"
"2018년 12월 25일","96.55","96.56","96.96","96.47","-","0.00%"
"2018년 12월 24일","96.55","96.94","96.94","96.38","-","-0.42%"
"2018년 12월 21일","96.96","96.39","97.05","96.25","-","0.71%"
"2018년 12월 20일","96.28","96.99","97.04","96.17","-","-0.77%"
"2018년 12월 19일","97.03","96.91","97.10","96.55","-","-0.07%"
"2018년 12월 18일","97.10","97.13","97.17","96.70","-","0.00%"
"2018년 12월 17일","97.10","97.43","97.46","97.05","-","-0.35%"
"2018년 12월 14일","97.44","97.09","97.71","97.08","-","0.39%"
"2018년 12월 13일","97.06","97.04","97.29","96.88","-","0.02%"
"2018년 12월 12일","97.04","97.38","97.49","96.89","-","-0.36%"
"2018년 12월 11일","97.39","97.18","97.55","96.87","-","0.17%"
"2018년 12월 10일","97.22","96.72","97.24","96.36","-","0.74%"
"2018년 12월 07일","96.51","96.80","96.92","96.51","-","-0.31%"
"2018년 12월 06일","96.81","97.01","97.20","96.55","-","-0.27%"
"2018년 12월 05일","97.07","97.01","97.20","96.83","-","0.10%"
"2018년 12월 04일","96.97","96.94","97.13","96.38","-","-0.07%"
"2018년 12월 03일","97.04","97.13","97.16","96.71","-","-0.24%"
"2018년 11월 30일","97.27","96.76","97.31","96.71","-","0.51%"
"2018년 11월 29일","96.78","96.84","97.00","96.63","-","-0.01%"
